Gene,mobile_EPS_1,serotype_O11_dominant,mobile_abx_metal_resistance,ST549,China_ST463,mobile_pKLC102_type_1,mobile_phage_1,mobile_ST773_ST1203_aux,ST235,mobile_PAGI1,mobile_phage_2,serotype_O4_dominant,serotype_O3,mobile_LESGI3,ST111,clone_C_associated,ST309,ST277_dominant,serotype_O6_dominant,mobile_LHR,ST244,mobile_EPS_2,ST179_ST155,ST27,mobile_pKLC102_type_2,mobile_PAGI46,ST253,mobile_phage_3
group_35823,0.0,0.0,0.9041041073862102,0.0,0.0,0.0,0.0,0.5544903350378502,0.14545344255767143,0.0,0.0,0.015212053915921477,0.0,1.0072767565789316,0.8536883647275116,0.6975996242893244,0.0,0.10420959820344708,0.0,0.03278646574227847,0.0,0.0,0.0,0.0,0.0,0.09123261549603574,0.0,0.0
group_22295,0.0,0.9580303222016896,0.0,0.0009450698625932742,0.0,0.0,0.0,0.003647247750487575,0.9451935241650167,0.0,0.019603566625214987,0.33474342372279253,0.0,0.0,0.0,0.0,0.865307189466412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_14781,0.003517703381002719,0.7834372226936235,0.030914720885661804,0.954943182316911,0.9316413269021878,0.02141733298437308,0.0,0.3452568924341725,0.8933456664224149,0.0066937334973263055,0.03630614354717608,0.8942299161892877,0.896076712125645,0.08377513462470015,0.9327968436778896,0.900315267556409,0.8938766154666669,0.807089564872111,0.8010186318623317,0.01237827872597412,0.8897515180972131,0.017533817249729786,0.8166474759145207,0.7515916540309695,0.03543015099518989,0.04169557269651369,0.9242548116640789,0.025115597499554346
gatA,0.05450536751091309,0.0,0.0,0.9538258791074288,0.9855386612126116,0.0,0.0,0.2244323655015112,0.0,0.0,0.0,0.17373251526944994,0.13662755520119418,0.0,0.0,1.0181381512641414,0.0,0.0,0.29738966940532646,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
group_33975,0.0,0.0056424162156210505,0.006847860669115977,0.0,0.10075052736347385,0.0,0.0,0.08018299198642381,0.007646790882046311,0.0,0.02960754684739399,0.0,0.0,0.0,0.0,0.0,0.0,0.14579568449911423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0036447615802695,0.010399612289727609,0.0
group_30138,0.0,0.0,0.0008228991364109661,0.0,0.0,0.0,0.5298916768692615,0.24518045176849537,0.5194082136495197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05587359198610363,0.0,0.0,0.0,0.028473407147067396,0.0,0.0,0.0,0.0,0.06226412924050725,0.0,0.0
group_25778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5491377379463694,0.008156761589266296,0.0,0.0458018390162414,0.09172240264411605,0.1906925731116172,0.0,0.0,0.002579361708355071,0.9764449905345857,0.34723057243540256,0.0,0.0,0.07488578505807407,0.0,0.0,0.016598716448375347,0.0,0.0,0.0,0.0
group_25556,0.0,0.10074276586482929,0.0,0.0,0.3197779871966049,0.0,0.0,0.22561116875871243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051894960344642055,0.0,0.0,0.0,1.3250842209687506,0.0,0.0,0.0,0.0,0.0,0.0
group_19708,0.0217419876127983,0.7995586133979545,0.03602229704869818,0.9761774290349713,0.9184888092499631,0.0,0.013021467047411375,0.30283887674610505,0.8690142967000789,0.0070490720392966675,0.02351527104707645,0.9060054571066848,0.9064512114676779,0.05979000744055671,0.9322007231774319,0.9068905771387552,0.8882618723158855,0.8270128319396932,0.8099136249260754,0.025176771098050478,0.8784534769987767,0.0,0.8194231516196343,0.6968233346707302,0.05584918555659675,0.037412024869667784,0.9213815062570561,0.038293377717913184
group_26515,0.0,0.0,0.0,0.0,0.9058535043836451,0.0,0.0,0.2676835510193724,0.0,0.0,0.0,0.0,0.3424718105508971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05858615294560347,0.0,0.0,0.0,0.0,0.014476750440225221,0.0
group_25357,0.9867277983814811,0.017532734119289784,0.07438346029282648,0.2436907507694391,0.11324098348237349,0.0,0.16401794847661313,0.25261328188410365,0.8368077552034052,0.0,0.06306253188065347,0.0,0.030046119517940114,0.0038048622785650517,0.808409002939611,0.8084954625429043,0.8315510829495472,0.07832525548589485,0.0,0.14029863594526112,0.0,0.9710155107399502,0.0,0.06208688604230188,0.005152250502853652,0.08186317723306166,0.8497527916995,0.1053745314556282
group_30647,0.0,0.13159777334034947,0.0,0.0,0.3163225326459603,0.0,0.0,0.19943751680410535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04717945092742162,0.0,0.006986332069330842,0.0,1.3307523617979884,0.004023563925451662,0.0,0.0,0.0,0.0,0.0
group_8774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0485083146986348,0.0,0.0,1.296622086555328,0.0,0.0,0.0,0.0,0.0,0.06330235337960954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016524519904059613,0.0
ybdN,0.07313380460772713,0.7264311272753822,0.0,0.9883666613902595,0.8696999260744303,0.04467536991563232,0.03592834021931747,0.2575576994369668,0.7970166897606465,0.11127547276018461,0.013037795636596548,0.7563832435050856,0.8807151991983959,0.02083443768369518,0.8501701742611744,0.8589314087976259,0.7537304076920043,0.7115671697270493,0.7418520730773907,0.009450541960121515,0.739434897627937,0.0,0.7743269771491633,0.6173827923980251,0.0,0.04905005703506825,0.8919043938908585,0.02113819768142076
group_33509,0.0,0.2595841486334911,0.002648544104967633,0.0,0.9504273554956892,0.0,0.3289960140292155,0.0,0.0,0.0,0.0,0.4903165645344419,0.272344201180727,0.1852531370062538,0.5380670315132545,0.03909301906606135,0.0,0.3221771632988655,0.016614904046896892,0.0,0.32900103862149144,0.011609991467316127,0.44370214231815747,0.218113027775393,0.0,0.18904449481604158,0.27215368452492306,0.011297540453723732
group_26833,0.0,0.0,0.0,0.018027036293214886,0.0,0.0,0.4539309657937719,0.0,0.2844370463781614,0.0,0.0,0.0,0.0,0.0389069205378448,0.21056256132330706,0.0,0.0,0.006524730046568822,0.0,0.0,0.0,0.0,0.14104194259351074,0.0,0.07269730631417053,0.21640203449898437,0.10758118203465898,0.0
group_16128,0.0,0.0,0.0020787068372842598,0.9729499415207536,0.0,0.0,0.0,0.012883478891886024,0.0,0.0,0.0,0.0,0.0,0.03445716539445811,0.0,0.0,0.0,1.0824465086794082,0.0,0.0,0.9975783370633007,0.0,0.0,0.0,0.0,0.0,0.06144609638731763,0.0
group_21041,0.0,0.0,0.9927794977414178,0.0,0.0,0.0,0.0,0.0,0.09443851970472535,0.0,0.0,0.0,0.0,0.0,0.8717965632186047,0.6487013482867167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_35980,0.0,0.07954036954583724,0.0,0.0,0.08450077412676563,0.0,0.0,0.048091997102175904,0.42383156075137934,0.0,0.05089926304202713,0.0,0.0,0.0,0.0,0.01448763138694169,0.48644890325445733,0.16292322400697512,0.0,0.027988637960336772,0.0,0.0,0.11490228947003998,0.04110885061358058,0.04972532526435239,0.14937574982530838,0.15054451339641892,0.0
deoA,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09211382415915922,0.0,0.0,0.0,0.0,0.0,0.8704288023410366,0.649377559522606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_35194,0.0,0.12065371104844601,0.0008534489201199296,0.0,0.0,0.0,0.17195994761664368,0.33383059958921474,0.0,0.0,0.0,0.3594875406785852,0.0905443680053495,0.0,0.8610127265500809,0.9366582738079153,0.48049918147618487,0.3640298407870283,0.0,0.0,0.08601630050105917,0.0,0.0,0.4218651944915894,0.0,0.09213553801604338,0.1578437284560977,0.0
group_26702,0.0,0.044372182484433274,0.05349491695486078,0.0,0.9436262789594795,0.0,0.0,0.0,0.0,0.0,0.7324362627261217,0.0,0.00541035890895315,0.0,0.08781406594749419,0.0,0.0,0.06587920705754047,0.0068083118658778165,0.034398840944378874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_23154,0.14263257075838662,0.7220836540850645,0.02362579738256531,0.8852996147501403,0.7826022858687256,0.0,0.009899363569185535,0.29050652030248564,0.9063550244774756,0.00017676946085864157,0.030120579698030246,0.8116130256655233,0.8180761854064713,0.06051223553685904,0.9352601046425052,0.8933634187376562,0.8870177458304075,0.7027496131009787,0.6811671745587415,0.06662491112659932,0.8016012385454064,0.12518264836608936,0.7290799112956464,0.649044151345846,0.04941349016847566,0.020285762739917577,0.9226226942994408,0.047667399296055436
group_17474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039496412485243,0.0,0.0,0.15596033891187822,0.9384049202353871,0.0,0.0,0.1384465038929573,0.0,0.0,0.0,0.02785661417129666,0.0022362295604171933,0.22852494559920186,0.3710083171099822,0.030108543016405205,0.028917084792665623,0.0695232605377098
group_5944,0.05450536751091309,0.0,0.0,0.9538258791074288,0.9855386612126116,0.0,0.0,0.2244323655015112,0.0,0.0,0.0,0.17373251526944994,0.13662755520119418,0.0,0.0,1.0181381512641414,0.0,0.0,0.29738966940532646,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
