,genbank_accessions,genome_id,genome_name,organism_name,taxon_id,genome_status,strain,culture_collection,type_strain,completion_date,bioproject_accession,biosample_accession,refseq_accessions,sequencing_centers,sequencing_status,sequencing_platform,assembly_method,chromosomes,plasmids,genome_length,gc_content,refseq_cds,isolation_source,collection_date,isolation_country,geographic_location,host_name,host_health,comments,assembly_name,assembly_type,assembly_status,refseq_category,source_database,paired_accession,paired_assembly,bioproject_lineage_accessions,bioproject_lineage_titles,biosample_last_updated,biosample_publication_date,biosample_submission_date,biosample_package,biosample_status,biosample_description,biosample_owner,biosample_collected_by,biosample_lat_lon,biosample_sample_ids,biosample_models,biosample_bioprojects,biosample_attributes_json,annotation_name,annotation_provider,annotation_release_date,annotation_gene_total,annotation_gene_non_coding,annotation_gene_other,checkm_marker_set,checkm_marker_set_rank,checkm_version,checkm_completeness,checkm_contamination,checkm_completeness_percentile,checkm_species_tax_id,ani_match_status,ani_category,ani_comment,ani_submitted_match_assembly,ani_submitted_match_ani,ani_submitted_match_organism,assembly_stats_contig_n50,assembly_stats_contig_l50,assembly_stats_gc_count,assembly_stats_genome_coverage,assembly_stats_atgc_count,organism_infraspecific_names_strain,organism_infraspecific_names_isolate,assembly_stats_total_number_of_chromosomes,wgs_project_accession,annotation_count_gene_total,annotation_count_gene_protein_coding,annotation_count_gene_pseudogene,mash_cluster,mlst_source,mlst,isolation_source_l1,isolation_source_l2,serotype
0,GCA_048593205.1,GCA_048593205.1,Pseudomonas aeruginosa ps1,Pseudomonas aeruginosa,287,Complete,ps1,,,2025-03-17,PRJNA1226941,SAMN46967384,,SUEZ CANAL UNIVERSITY,OK,Illumina MiSeq,SPAdes v. 2024,1,0,6037891,67.0,5416,cloacal swabs,2024,Saudi Arabia,Saudi Arabia,falcons,,,ASM4859320v1,haploid,current,,SOURCE_DATABASE_GENBANK,,,PRJNA1226941,Pseudomonas aeruginosa strain:ps1 | isolate:ksa Genome sequencing,2025-03-06T09:14:14.080,2025-02-22T00:00:00.000,2025-02-22T16:27:03.636,Microbe.1.0,"{'status': 'live', 'when': '2025-02-22T16:27:03.639'}","{'title': 'Microbe sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'SUEZ CANAL UNIVERSITY', 'contacts': [{}]}",,,"{'label': 'Sample name', 'value': 'cloacal swabs'}","Microbe, viral or environmental",PRJNA1226941,"[{""name"": ""strain"", ""value"": ""ps1""}, {""name"": ""isolate_name_alias"", ""value"": ""ksa""}, {""name"": ""host"", ""value"": ""falcons""}, {""name"": ""isolation_source"", ""value"": ""cloacal swabs""}, {""name"": ""collection_date"", ""value"": ""2024""}, {""name"": ""geo_loc_name"", ""value"": ""Saudi Arabia""}, {""name"": ""sample_type"", ""value"": ""cloacal swabs""}]",NCBI Prokaryotic Genome Annotation Pipeline (PGAP),NCBI,2025-03-11,5601,64,,Pseudomonas aeruginosa,species,v1.2.3,97.06,0.49,6.92435,287,species_match,category_na,na,GCA_001457615.1,99.47,Pseudomonas aeruginosa,6037891,1,4032378,50.0,6037891,ps1,,1.0,,5601.0,5416.0,121.0,62,-,-,animal,animal,O6
1,GCA_051016185.1,GCA_051016185.1,Pseudomonas aeruginosa 25181,Pseudomonas aeruginosa,287,Complete,25181,,,2025-06-21,PRJNA1180571,SAMN44523475,GCF_051016185.1,University of Nottingham,OK,Illumina; Oxford Nanopore,Flye v. v2.9.2; Circlator v. v1.5.5; Medaka v. v1.11.1; Polypolish v. v0.5.0; Polca v. December 2023,2,1,7421260,65.5,6922,ear canal swab,Unknown,Denmark,Denmark,Canis lupus familiaris,otitis externa,,ASM5101618v1,haploid,current,,SOURCE_DATABASE_GENBANK,GCF_051016185.1,"{'accession': 'GCF_051016185.1', 'status': 'suppressed'}",PRJNA1180571,Pseudomonas aeruginosa from clinical cases of canine otitis externa,2025-06-22T12:39:47.230,2025-06-22T12:39:47.230,2024-10-31T13:25:04.680,Pathogen.cl.1.0,"{'status': 'live', 'when': '2025-06-22T12:39:47.230'}","{'title': 'Pathogen: clinical or host-associated sample from Pseudomonas aeruginosa', 'organism': {'taxId': 287, 'organismName': 'Pseudomonas aeruginosa'}}","{'name': 'University of Nottingham', 'contacts': [{}]}",Arshnee Moodley,Unknown,"{'label': 'Sample name', 'value': 'PA25181'}",Pathogen.cl,PRJNA1180571,"[{""name"": ""strain"", ""value"": ""25181""}, {""name"": ""collected_by"", ""value"": ""Arshnee Moodley""}, {""name"": ""collection_date"", ""value"": ""Unknown""}, {""name"": ""geo_loc_name"", ""value"": ""Denmark""}, {""name"": ""host"", ""value"": ""Canis lupus familiaris""}, {""name"": ""host_disease"", ""value"": ""otitis externa""}, {""name"": ""isolation_source"", ""value"": ""ear canal swab""}, {""name"": ""lat_lon"", ""value"": ""Unknown""}]",NCBI Prokaryotic Genome Annotation Pipeline (PGAP),NCBI,2024-11-05,7102,85,,Pseudomonas aeruginosa,species,v1.2.3,99.82,1.77,94.5445,287,species_match,category_na,na,GCA_008801675.1,98.94,Pseudomonas aeruginosa,7067222,1,4855210,34.0,7421260,25181,,2.0,,7102.0,6922.0,95.0,2,PubMLST,253,human,ears,O10
2,GCA_000006765.1,GCF_000006765.1,Pseudomonas aeruginosa PAO1,Pseudomonas aeruginosa PAO1,208964,Complete,PAO1,,,2006-07-24,PRJNA331,,GCF_000006765.1,PathoGenesis Corporation,OK,,,1,0,6264404,66.5,5572,,,,,,,,ASM676v1,haploid,current,reference genome,SOURCE_DATABASE_REFSEQ,GCA_000006765.1,"{'accession': 'GCA_000006765.1', 'status': 'current', 'annotationName': 'Annotation submitted by PathoGenesis Corporation'}",PRJNA331,Causes opportunistic infections in humans,,,,,,,,,,,,,,Annotation submitted by NCBI RefSeq,NCBI RefSeq,2019-01-24,5697,106,,Pseudomonas aeruginosa,species,v1.2.4,99.61,0.49,76.4274,287,species_match,category_na,na,GCA_008801675.1,99.46,Pseudomonas aeruginosa,6264404,1,4169320,,6264404,PAO1,,1.0,,5697.0,5572.0,19.0,34,BVBRC,549,other,unknown,O5
3,GCA_000014625.1,GCF_000014625.1,Pseudomonas aeruginosa UCBPP-PA14,Pseudomonas aeruginosa UCBPP-PA14,208963,Complete,UCBPP-PA14,,,2006-10-06,PRJNA386,SAMN02603591,GCF_000014625.1,Massachusetts General Hospital,OK,,,1,0,6537648,66.5,5891,,,,,,,,ASM1462v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_000014625.1,"{'accession': 'GCA_000014625.1', 'status': 'current', 'annotationName': 'Annotation submitted by Massachusetts General Hospital'}",PRJNA386,Causes opportunistic infections in humans,2015-05-18T13:19:25.570,2014-01-30T14:21:41.053,2014-01-30T14:21:41.053,Generic.1.0,"{'status': 'live', 'when': '2014-01-30T14:21:41.053'}","{'title': 'Sample from Pseudomonas aeruginosa UCBPP-PA14', 'organism': {'taxId': 208963, 'organismName': 'Pseudomonas aeruginosa UCBPP-PA14'}}",{'name': 'NCBI'},,,"{'label': 'Sample name', 'value': 'CP000438'}",Generic,PRJNA386,"[{""name"": ""strain"", ""value"": ""UCBPP-PA14""}]",GCF_000014625.1-RS_2025_02_23,NCBI RefSeq,2025-02-23,6041,80,,Pseudomonas aeruginosa,species,v1.2.3,99.39,0.47,52.8769,287,species_match,category_na,na,GCA_008801675.1,98.95,Pseudomonas aeruginosa,6537648,1,4333951,,6537637,UCBPP-PA14,,1.0,,6041.0,5891.0,70.0,2,PubMLST,253,other,unknown,O10
4,GCA_000026645.1,GCF_000026645.1,Pseudomonas aeruginosa LESB58,Pseudomonas aeruginosa LESB58,557722,Complete,LESB58,,,2008-12-24,PRJEA31101,SAMEA1705916,GCF_000026645.1,Wellcome Trust Sanger Institute,OK,,,1,0,6601757,66.5,6059,,1988,,,,,,ASM2664v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_000026645.1,"{'accession': 'GCA_000026645.1', 'status': 'current', 'annotationName': 'Annotation submitted by Wellcome Trust Sanger Institute'}",PRJEA31101,Hypervirulent human isolate,2024-02-05T14:43:53.000,2010-02-26T00:00:00.000,2010-11-05T17:16:38.880,Generic.1.0,"{'status': 'live', 'when': '2015-08-07T13:22:17'}","{'title': 'Sample from Pseudomonas aeruginosa LESB58', 'organism': {'taxId': 557722, 'organismName': 'Pseudomonas aeruginosa LESB58'}}",{'name': 'EBI'},,,"{'db': 'SRA', 'value': 'ERS000071'}",Generic,,"[{""name"": ""Check list type"", ""value"": ""prokaryote""}, {""name"": ""ENA-FIRST-PUBLIC"", ""value"": ""2010-02-26T10:44:07Z""}, {""name"": ""ENA-LAST-UPDATE"", ""value"": ""2018-03-09T09:51:49Z""}, {""name"": ""External Id"", ""value"": ""SAMEA1705916""}, {""name"": ""GCAT ID"", ""value"": ""001388_GCAT""}, {""name"": ""Health status of host"", ""value"": ""alive""}, {""name"": ""INSDC center name"", ""value"": ""EBI""}, {""name"": ""INSDC first public"", ""value"": ""2010-02-26T10:44:07Z""}, {""name"": ""INSDC last update"", ""value"": ""2018-03-09T09:51:49Z""}, {""name"": ""INSDC status"", ""value"": ""public""}, {""name"": ""Nucleic acid preparation"", ""value"": ""Phenol/Chloroform""}, {""name"": ""Relevant e-resources"", ""value"": ""http://www.sanger.ac.uk/Projects/P_aeruginosa/""}, {""name"": ""Submitter Id"", ""value"": ""0001388_GCAT-20090507""}, {""name"": ""collection_date"", ""value"": ""1988""}, {""name"": ""biotic_relationship"", ""value"": ""pathogen""}, {""name"": ""broker name"", ""value"": ""ENA""}, {""name"": ""habitat"", ""value"": ""animal-associated habitat""}, {""name"": ""host_taxid"", ""value"": ""9606""}, {""name"": ""latitude"", ""value"": ""53.4""}, {""name"": ""longitude"", ""value"": ""-2.9""}, {""name"": ""pathogenicity"", ""value"": ""human""}, {""name"": ""rel_to_oxygen"", ""value"": ""aerobic""}, {""name"": ""sample_name"", ""value"": ""0001388_GCAT-20090507""}, {""name"": ""scientific_name"", ""value"": ""Pseudomonas aeruginosa LESB58""}, {""name"": ""trophic_level"", ""value"": ""heterotroph (consumer)""}]",GCF_000026645.1-RS_2025_08_25,NCBI RefSeq,2025-08-25,6195,84,,Pseudomonas aeruginosa,species,v1.2.4,99.82,0.28,94.5445,287,species_match,category_na,na,GCA_022496575.1,99.5,Pseudomonas aeruginosa,6601757,1,4376792,,6601757,LESB58,,1.0,,6195.0,6059.0,52.0,94,PubMLST,146,other,unknown,O6
5,GCA_000168335.1,GCF_000168335.1,Pseudomonas aeruginosa PACS2,Pseudomonas aeruginosa PACS2,388272,Complete,PACS2,,,2006-06-05,PRJNA16851,SAMN02471994,GCF_000168335.1,University of Washington,OK,,,1,0,6492423,66.5,5936,,,,,,,,ASM16833v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_000168335.1,"{'accession': 'GCA_000168335.1', 'status': 'current'}",PRJNA16851,Opportunistic pathogen,2015-05-18T13:14:37.707,2013-12-19T13:55:13.283,2013-12-19T13:52:15.803,Generic.1.0,"{'status': 'live', 'when': '2013-12-19T13:55:13.283'}","{'title': 'Sample from Pseudomonas aeruginosa PACS2', 'organism': {'taxId': 388272, 'organismName': 'Pseudomonas aeruginosa PACS2'}}",{'name': 'NCBI'},,,"{'label': 'Sample name', 'value': 'AAQW'}",Generic,PRJNA16851,"[{""name"": ""strain"", ""value"": ""PACS2""}]",GCF_000168335.1-RS_2025_03_18,NCBI RefSeq,2025-03-18,6043,79,,Pseudomonas aeruginosa,species,v1.2.3,99.39,0.73,52.8769,287,species_match,category_na,na,GCA_024169805.1,99.41,Pseudomonas aeruginosa,6492423,1,4306352,,6492423,PACS2,,1.0,AAQW01,6043.0,5936.0,28.0,56,BVBRC,1394,other,unknown,O1
6,GCA_000223945.2,GCF_000223945.1,Pseudomonas aeruginosa 19BR,Pseudomonas aeruginosa 19BR,1051003,Complete,19BR,,,2011-08-17,PRJNA70773,SAMN02471401,GCF_000223945.1,"IBIS, Universite Laval",OK,454,Newbler v. 2.5.3,1,0,6742964,66.0,6163,,,,,,,,ASM22394v2,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_000223945.2,"{'accession': 'GCA_000223945.2', 'status': 'current'}",PRJNA70773,Pseudomonas aeruginosa 19BR Genome sequencing and assembly,2015-05-18T13:12:20.030,2013-12-19T13:38:46.837,2013-12-19T13:35:02.927,Generic.1.0,"{'status': 'live', 'when': '2013-12-19T13:38:46.837'}","{'title': 'Sample from Pseudomonas aeruginosa 19BR', 'organism': {'taxId': 1051003, 'organismName': 'Pseudomonas aeruginosa 19BR'}}",{'name': 'NCBI'},,,"{'label': 'Sample name', 'value': 'AFXJ'}",Generic,PRJNA70773,"[{""name"": ""strain"", ""value"": ""19BR""}]",GCF_000223945.1-RS_2025_04_26,NCBI RefSeq,2025-04-26,6332,81,,Pseudomonas aeruginosa,species,v1.2.3,99.54,0.82,68.0121,287,species_match,category_na,na,GCA_008801675.1,99.43,Pseudomonas aeruginosa,6742964,1,4458874,33.0,6742964,19BR,,1.0,AFXJ01,6332.0,6163.0,88.0,77,PubMLST,277,other,unknown,O2
7,GCA_000223965.2,GCF_000223965.1,Pseudomonas aeruginosa 213BR,Pseudomonas aeruginosa 213BR,1051004,Complete,213BR,,,2011-08-17,PRJNA70775,SAMN02471402,GCF_000223965.1,"IBIS, Universite Laval",OK,454,Newbler v. 2.5.3,1,0,6719211,66.0,6144,,,,,,,,ASM22396v2,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_000223965.2,"{'accession': 'GCA_000223965.2', 'status': 'current'}",PRJNA70775,Pseudomonas aeruginosa 213BR Genome sequencing and assembly,2015-05-18T13:12:20.110,2013-12-19T13:38:47.023,2013-12-19T13:35:02.977,Generic.1.0,"{'status': 'live', 'when': '2013-12-19T13:38:47.023'}","{'title': 'Sample from Pseudomonas aeruginosa 213BR', 'organism': {'taxId': 1051004, 'organismName': 'Pseudomonas aeruginosa 213BR'}}",{'name': 'NCBI'},,,"{'label': 'Sample name', 'value': 'AFXK'}",Generic,PRJNA70775,"[{""name"": ""strain"", ""value"": ""213BR""}]",GCF_000223965.1-RS_2025_04_15,NCBI RefSeq,2025-04-15,6306,81,,Pseudomonas aeruginosa,species,v1.2.3,99.54,0.82,68.0121,287,species_match,category_na,na,GCA_008801675.1,99.44,Pseudomonas aeruginosa,6719211,1,4444429,31.0,6719211,213BR,,1.0,AFXK01,6306.0,6144.0,81.0,77,PubMLST,277,other,unknown,O5
8,GCA_000226155.1,GCF_000226155.1,Pseudomonas aeruginosa M18,Pseudomonas aeruginosa M18,941193,Complete,M18,,,2011-09-19,PRJNA61423,SAMN02603849,GCF_000226155.1,"School of Life Sciences and Biotechnology, Shanghai Jiao Tong University, PR China",OK,,,1,0,6327754,66.5,5762,,,,,,,,ASM22615v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_000226155.1,"{'accession': 'GCA_000226155.1', 'status': 'current', 'annotationName': 'Annotation submitted by School of Life Sciences and Biotechnology, Shanghai Jiao Tong University, PR China'}",PRJNA61423,Pseudomonas aeruginosa M18 genome sequencing project,2015-05-18T13:19:54.257,2014-01-30T14:54:01.957,2014-01-30T14:54:01.957,Generic.1.0,"{'status': 'live', 'when': '2014-01-30T14:54:01.957'}","{'title': 'Sample from Pseudomonas aeruginosa M18', 'organism': {'taxId': 941193, 'organismName': 'Pseudomonas aeruginosa M18'}}",{'name': 'NCBI'},,,"{'label': 'Sample name', 'value': 'CP002496'}",Generic,PRJNA61423,"[{""name"": ""strain"", ""value"": ""M18""}]",GCF_000226155.1-RS_2025_02_04,NCBI RefSeq,2025-02-04,5885,79,,Pseudomonas aeruginosa,species,v1.2.3,99.58,0.28,74.1027,287,species_match,category_na,na,GCA_024169805.1,99.86,Pseudomonas aeruginosa,6327754,1,4208227,,6327754,M18,,1.0,,5885.0,5762.0,44.0,42,BVBRC,1239,other,unknown,O6
9,GCA_000271365.1,GCF_000271365.1,Pseudomonas aeruginosa DK2,Pseudomonas aeruginosa DK2,1093787,Complete,DK2,,,2012-06-20,PRJNA73815,SAMN02603895,GCF_000271365.1,Technical University of Denmark,OK,,,1,0,6402658,66.5,5811,,,,,,,,ASM27136v1,haploid,current,,SOURCE_DATABASE_REFSEQ,GCA_000271365.1,"{'accession': 'GCA_000271365.1', 'status': 'current', 'annotationName': 'Annotation submitted by Technical University of Denmark'}",PRJNA73815,Pseudomonas aeruginosa DK2 Genome sequencing,2015-05-18T13:19:55.937,2014-01-30T14:54:05.340,2014-01-30T14:54:05.340,Generic.1.0,"{'status': 'live', 'when': '2014-01-30T14:54:05.340'}","{'title': 'Sample from Pseudomonas aeruginosa DK2', 'organism': {'taxId': 1093787, 'organismName': 'Pseudomonas aeruginosa DK2'}}",{'name': 'NCBI'},,,"{'label': 'Sample name', 'value': 'CP003149'}",Generic,PRJNA73815,"[{""name"": ""strain"", ""value"": ""DK2""}]",GCF_000271365.1-RS_2025_01_30,NCBI RefSeq,2025-01-30,5996,80,,Pseudomonas aeruginosa,species,v1.2.3,99.15,0.31,33.534,287,species_match,category_na,na,GCA_024169805.1,99.39,Pseudomonas aeruginosa,6402658,1,4243057,,6402658,DK2,,1.0,,5996.0,5811.0,105.0,81,PubMLST,386,other,unknown,O3
